 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  11   0.  2.06E+02  1.160E+02  6.376  0.000  2.288  0.000  0.000 -1.000  33.242
  12   0.  2.06E+02  1.156E+02  6.365  0.000  2.070  0.000  0.000 -1.000  33.028
  13   0.  2.06E+02  1.149E+02  6.348  0.000  1.775  0.000  0.000 -1.000  32.783
  14   0.  2.06E+02  1.133E+02  6.316  0.000  1.305  0.000  0.000 -1.000  32.473
  15   0.  2.05E+02  1.103E+02  6.258  0.000  0.653  0.000  0.000 -1.000  32.086
  16   0.  2.07E+02  1.088E+02  6.211  0.000  0.326  0.000  0.000 -1.000  31.712
  17   0.  2.08E+02  1.082E+02  6.195  0.000  0.163  0.000  0.000 -1.000  31.415
  18   0.  2.08E+02  1.081E+02  6.203  0.000  0.082  0.000  0.000 -1.000  31.198
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.09E+02  1.048E+03
  19   0.  2.09E+02  1.081E+02  6.213  0.000  0.041  0.000  0.000 -1.000  31.022
   1   0.  2.06E+02  9.839E+02  6.224  0.000  0.020  0.000  0.000 -1.000  30.929
   2   0.  2.03E+02  9.723E+02  6.298  0.000  0.010  0.000  0.000 -1.000  30.895
   3  -1.  2.04E+02  9.717E+02  6.481  0.000  0.015  0.000  0.000 -1.000  30.341
   4   1.  2.04E+02  9.656E+02  6.486  0.000  0.008  0.000  0.000 -1.000  30.338
   5   0.  2.04E+02  9.680E+02  6.516  0.000  0.011  0.000  0.000 -1.000  30.290
   6   0.  2.04E+02  9.648E+02  6.543  0.000  0.017  0.000  0.000 -1.000  30.220
   7   0.  2.04E+02  9.647E+02  6.571  0.000  0.026  0.000  0.000 -1.000  30.177
   8   0.  2.04E+02  9.647E+02  6.586  0.000  0.013  0.000  0.000 -1.000  30.076
   9   0.  2.04E+02  9.646E+02  6.602  0.000  0.006  0.000  0.000 -1.000  30.012
  10   0.  2.04E+02  9.646E+02  6.616  0.000  0.003  0.000  0.000 -1.000  29.959
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.71E+00  4.224E+03
   1  -3.  7.98E+01  1.569E+02  1.821  0.000  0.587  0.000  0.000 -1.000  39.130
   2  -2.  9.85E+01  1.362E+02  2.731  0.000  0.293  0.000  0.000 -1.000  36.710
   3  -1.  1.16E+02  1.244E+02  4.096  0.000  0.440  0.000  0.000 -1.000  36.720
   4  -2.  1.72E+02  1.086E+02  6.144  0.000  0.660  0.000  0.000 -1.000  35.219
   5   0.  1.82E+02  1.072E+02  6.058  0.000  0.990  0.000  0.000 -1.000  35.175
   6   0.  1.90E+02  1.064E+02  5.985  0.000  1.485  0.000  0.000 -1.000  35.146
   7   0.  1.97E+02  1.057E+02  5.961  0.000  2.227  0.000  0.000 -1.000  35.146
   8   1.  1.98E+02  1.056E+02  5.954  0.000  2.314  0.000  0.000 -1.000  35.148
   9   1.  1.99E+02  1.056E+02  5.950  0.000  2.393  0.000  0.000 -1.000  35.150
  10   2.  1.99E+02  1.056E+02  5.950  0.000  2.401  0.000  0.000 -1.000  35.150
  11   2.  1.99E+02  1.056E+02  5.950  0.000  2.409  0.000  0.000 -1.000  35.150
  12   1.  1.99E+02  1.055E+02  5.950  0.000  2.483  0.000  0.000 -1.000  35.152
  13   0.  2.03E+02  1.053E+02  6.036  0.000  2.920  0.000  0.000 -1.000  35.159
  14   0.  2.04E+02  1.052E+02  6.138  0.000  3.213  0.000  0.000 -1.000  35.154
  15   0.  2.05E+02  1.051E+02  6.230  0.000  3.429  0.000  0.000 -1.000  35.144
  16   0.  2.05E+02  1.051E+02  6.289  0.000  3.543  0.000  0.000 -1.000  35.128
  17   3.  2.03E+02  1.047E+02  6.289  0.000  3.544  0.000  0.000 -1.000  35.128
  18   2.  2.03E+02  1.047E+02  6.275  0.000  3.532  0.000  0.000 -1.000  35.128
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.03E+02  1.221E+02
  19   2.  2.03E+02  1.046E+02  6.262  0.000  3.521  0.000  0.000 -1.000  35.129
   1   0.  2.04E+02  1.208E+02  6.254  0.000  3.532  0.000  0.000 -1.000  35.012
   2   0.  2.04E+02  1.199E+02  6.290  0.000  3.510  0.000  0.000 -1.000  34.881
   3   0.  2.04E+02  1.191E+02  6.333  0.000  3.452  0.000  0.000 -1.000  34.732
